16,boe,Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Cantábrico de información pública de procedimiento de concesión de aguas en el término municipal de Aller (Asturias). A/33/48530.,AGU_GEN,True,AGU_GEN,cuenca_cantabrico,,True,anuncio,"[""AGU_GEN""]","[""cuenca_cantabrico""]",0.95,"El texto menciona ""concesión de aguas"" en el DPH sin especificar un uso particular (ni riego, ni abastecimiento), lo cual activa la categoría AGU_GEN como residual según las reglas. La mención a ""Confederación Hidrográfica del Cantábrico"" y ""Asturias"" permite inferir claramente la cuenca cantábrica.",58.647
17,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública de la concesión de un aprovechamiento de aguas subterráneas para otros usos industriales, en el término municipal de San Miguel del Arroyo (Valladolid). Ref. expte.: C-0404/2024 (INTEGRA-AYE) VA.",AGU_GEN,True,AGU_IND,"uso_industrial,cuenca_duero",,UnexpectedModelBehavior,59.931
18,boe,"Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Guadalquivir de información pública del procedimiento de extinción del derecho de la concesión de aguas públicas con expediente de referencia X-5568/2024, en el término municipal de Puente Genil (Córdoba).",AGU_GEN,True,AGU_GEN,cuenca_guadalquivir,,True,anuncio,"[""AGU_GEN""]","[""cuenca_guadalquivir""]",0.85,"""Extinción del derecho de la concesión de aguas públicas"" implica un acto administrativo sobre dominio público hidráulico sin uso específico (no hay mención a riego, abastecimiento o industrial). ""Comisaría de Aguas de la Confederación Hidrográfica del Guadalquivir"" permite inferir cuenca_guadalquivir.",62.002
19,boe,"Anuncio del Servicio de Régimen de Usuarios de la Confederación Hidrográfica del Duero, O.A. de información pública sobre la tramitación de un procedimiento de extinción del derecho a un aprovechamiento subterráneas en el término municipal de Langa (Ávila). Expediente ED-0089/2024.",AGU_GEN,True,AGU_GEN,cuenca_duero,,UnexpectedModelBehavior,61.798
20,boe,Anuncio de la Confederación Hidrográfica del Guadiana de sometimiento a información pública de resolución de otorgamiento de concesión de aguas subterráneas en el término municipal de El Robledo (Ciudad Real)- 3681/2018.,AGU_GEN,True,AGU_GEN,cuenca_guadiana,,UnexpectedModelBehavior,63.275
21,boe,Anuncio de la Confederación Hidrográfica del Guadiana de sometimiento a información pública de solicitud de concesión de aguas subterráneas en el término municipal de Badajoz (Badajoz).,AGU_GEN,True,AGU_GEN,cuenca_guadiana,,UnexpectedModelBehavior,66.727
22,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública de la autorización de vertido de aguas residuales, en el término municipal de Arabayona de Mógica (Salamanca), referencia del expediente V-0095/2023 (Referencia del Servicio: 0081. -SA).",AGU_GEN,True,VER,cuenca_duero,,True,anuncio,"[""VER""]","[""cuenca_duero""]",0.95,"""El texto menciona explícitamente 'autorización de vertido de aguas residuales', lo que activa la categoría VER. La referencia a 'Confederación Hidrográfica del Duero' y el término municipal en Salamanca identifican la cuenca como duero.""",54.428
23,boe,"Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Guadalquivir de información pública del procedimiento de de la concesión de aguas públicas para abastecimiento de vivienda con un volumen de 182,5 m3/año, con captación subterránea en Sanlúcar la Mayor (Sevilla). Expediente 4463/2020.",AGU_GEN,True,AGU_ABS,"uso_urbano,cuenca_guadalquivir",,UnexpectedModelBehavior,58.782
24,boe,Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Ebro sobre información pública de una solicitud de concesión de un aprovechamiento de aguas públicas subterráneas en el término municipal de Santo Domingo de la Calzada (La Rioja).,AGU_GEN,True,AGU_GEN,cuenca_ebro,,True,anuncio,"[""AGU_GEN""]","[""cuenca_ebro""]",0.95,"""Concesión de un aprovechamiento de aguas públicas subterráneas sin especificar uso ni mención explícita a captación/sondeo/pozo → AGU_GEN. La Confederación Hidrográfica del Ebro y la ubicación en La Rioja sitúan la cuenca en el Ebro → cuenca_ebro.""",56.029
25,boe,Anuncio de la Comunidad de Regantes Pozo La Sierra de Torrent sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_jucar",,True,anuncio,"[""AGU_RIE""]",[],0.95,"""convocatoria de Junta"" en el contexto de una ""Comunidad de Regantes"" activa AGU_RIE según la categoría 8 (convocatorias de juntas de comunidades de regantes). No hay información suficiente sobre cuenca ni uso específico para asignar subcategorías adicionales.""",52.895
26,boe,"Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Guadalquivir de información pública de procedimiento de extinción del derecho de una concesión de aguas públicas para abastecimiento, riego de 0,02 ha. y un volumen de 1.150 m3/año con captación en Pozo (Fuera de masa) en Pozoblanco (Córdoba). Expediente X-9076/2022-ing.",AGU_RIE,True,"AGU_RIE,AGU_ABS,AGU_SND","uso_mixto,cuenca_guadalquivir",,UnexpectedModelBehavior,54.739
27,boe,Anuncio de la Comunidad de Regantes Las Almacidas sobre convocatoria de Junta General Ordinaria.,AGU_RIE,True,AGU_RIE,uso_agricola,,True,anuncio,"[""AGU_RIE""]",[],0.95,"""Convocatoria de Junta General Ordinaria"" en el contexto de una ""Comunidad de Regantes"" activa directamente la categoría AGU_RIE según las señales léxicas de convocatorias de juntas de comunidades de regantes. No hay mención específica de uso agrícola o cuenca, así que las subcategorías quedan vacías.",55.105
28,boe,Anuncio de la Comunidad de Regantes de Ara sobre convocatoria de Asamblea General Ordinaria.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_ebro",,True,anuncio,"[""AGU_RIE""]",[],1.0,"""Convocatoria de Asamblea General Ordinaria"" en una ""Comunidad de Regantes"" activa la categoría AGU_RIE según la regla 8. No hay información de uso específico, por lo que no se asignan subcategorías.",50.482
29,boe,"Anuncio de la Comisaría de Aguas, de la Confederación Hidrográfica del Guadalquivir, de competencia de proyectos sobre concesión de uso de reutilización de aguas para un volumen anual de 205.169 m3/año para uso Agropecuario - Regadío (otras berries para una superficie de 39,21 ha) en el T.M. de Hinojos (Huelva) con expediente A-6835/2017.",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_guadalquivir",,UnexpectedModelBehavior,54.351
30,boe,"Anuncio de la Comunidad de Regantes de Las Vegas de Ejea de los Caballeros, Zaragoza, sobre convocatoria de Junta.",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_ebro",,True,anuncio,"[""AGU_RIE""]","[""cuenca_ebro""]",0.95,"""Convocatoria de Junta"" en ""Comunidad de Regantes"" activa AGU_RIE según la regla 8. Se infiere cuenca Ebro por el término municipal de ""Ejea de los Caballeros"" y provincia ""Zaragoza"".",53.047
31,boe,Anuncio de la Comunidad de Regantes Armuña Fase 1 sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE""]",[],0.95,"""'Comunidad de Regantes' y 'convocatoria de Junta' activa AGU_RIE según la regla de convocatorias de asambleas/juntas (regla 8). No hay mención de cuenca ni uso específico en el texto corto.""",51.198
32,boe,Anuncio de la Comunidad de Regantes del Valle de Benejama sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_jucar",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_guadalquivir""]",0.95,"""'Convocatoria de Junta' en el contexto de 'Comunidad de Regantes' activa claramente AGU_RIE (según reglas N2). El Valle de Benejama es un regadío historicamente vinculado a la cuenca del Guadalquivir → subcategoría cuenca_guadalquivir. Uso agrícola por definición de riego.""",59.798
33,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública de la concesión de un aprovechamiento de aguas subterráneas para riego, en el término municipal Moral de la Reina (Valladolid). Ref. expte.: C-0417/2024 (INTEGRA-AYE) VA.",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_duero",,UnexpectedModelBehavior,60.894
34,boe,Anuncio de la Comunidad de Regantes del Río Tajo en Almoguera sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_tajo",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_tajo""]",0.95,"""Convocatoria de Junta de Comunidad de Regantes del Río Tajo activa AGU_RIE (convocatoria de junta/asamblea). 'Río Tajo' y 'Comunidad de Regantes' indican cuenca_tajo y uso agrícola. Es el caso específico de convocatoria que en las reglas corresponde a AGU_RIE.""",57.52
35,docm,"Resolución de 16/01/2025, de la Delegación Provincial de Desarrollo Sostenible de Guadalajara, por la que se formula el informe de impacto ambiental del proyecto denominado: Captación de aguas subterráneas para riego de carrascas truferas en Tordellego (Guadalajara) (expediente PRO-GU-24-0765), cuyo promotor es don Luis Martínez Martínez.",AGU_RIE,True,"AGU_SND,AGU_RIE","uso_agricola,cuenca_tajo",,UnexpectedModelBehavior,57.02
36,boe,"Anuncio de la Comunidad de Regantes La Moraña II, sobre la exposición pública de los estatutos.",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_duero",,UnexpectedModelBehavior,71.44
37,boe,Anuncio de la Comunidad de Regantes de Alcolea de Tajo sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_tajo",,True,anuncio,"[""AGU_RIE""]","[""cuenca_tajo""]",1.0,"""'Convocatoria de Junta' en una 'Comunidad de Regantes' activa la categoría AGU_RIE según las señales léxicas clave para juntas de comunidades de regantes. La referencia a Alcolea de Tajo sitúa la publicación en la cuenca del Tajo.""",53.721
38,bocyl,"RESOLUCIÓN de 5 de febrero de 2025, de la Delegación Territorial de León, por la que se dicta el informe de impacto ambiental del proyecto de ejecución de un sondeo de captación de aguas para riego de árboles frutales y huerta en Corullón, en el término municipal de Corullón (León). Expte.: I.A. 035/2024.",AGU_RIE,True,"AGU_SND,AGU_RIE","uso_agricola,cuenca_mino_sil",,UnexpectedModelBehavior,57.051
39,boe,"Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Guadalquivir de información pública de procedimiento de extinción del derecho de una concesión de aguas públicas para riego de 10,88 ha y un volumen de 16.320 m3/año con captación en Sondeo (Rumblar) en Bailén (Jaén). Expediente X-5548/2024-ing.",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_guadalquivir",,UnexpectedModelBehavior,56.176
40,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de la resolución del expediente de concesión de un aprovechamiento de aguas subterráneas, de referencia C-0192/2023, con destino a riego en el término municipal de Fermoselle (Zamora).",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_duero""]",0.98,"""Con destino a riego"" activa AGU_RIE explícitamente. No hay mención de captación, sondeo o pozo, por lo que no se asigna AGU_SND (reglas 2 y 4). Fuente: Confederación Hidrográfica del Duero (CHD) → cuenca_duero.",60.946
41,doe,"Acuerdo de 31 de octubre de 2024, de la Comisión de Urbanismo y Ordenación del Territorio de Extremadura, de aprobación definitiva de la modificación puntual n.º 1 del Plan General Municipal de Miajadas que afecta a la regulación de la altura de las edificaciones e instalaciones en Suelo No Urbanizable de Protección Natural (artículo 3.2.2.1), de Protección Estructural Regadíos (artículo 3.2.2.2), de Protección Ambiental Hidrológica (artículo 3.2.2.5) y Común (artículo 3.2.2.7).",AGU_RIE,False,,,,UnexpectedModelBehavior,48.615
42,boe,"Anuncio de la Confederación Hidrográfica del Duero, O.A., de información pública del expediente de modificación de características de concesión de un aprovechamiento de aguas subterráneas, de referencia MC-0193/2024 (INTEGRA-AYE) AV, con destino a riego en el término municipal de Madrigal de las Altas Torres (Ávila).",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_duero",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_duero""]",0.98,"""'con destino a riego' activa AGU_RIE (uso agrícola explícito). La fuente es Confederación Hidrográfica del Duero → cuenca_duero. No hay 'captación/sondeo/pozo', por lo tanto no hay AGU_SND (Ejemplo 1).",56.648
43,doe,"Resolución de 19 de marzo de 2025, de la Dirección General de Sostenibilidad, por la que se formula informe de impacto ambiental del proyecto de transformación en regadío de 16,0369 ha de olivar en la finca Santa Ana, promovido por Aurelia Mancha Prieto, Elías, M.ª Aurelia, Demetrio y Guadalupe Carrasco Mancha, en los términos municipales de Don Álvaro y Valverde de Mérida. Expte.: IA21/1029.",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_guadiana",,UnexpectedModelBehavior,49.781
44,boe,Anuncio de la Comunidad de Regantes con Aguas Rodadas del Canal de Lodosa de Fréscano sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_ebro",,True,anuncio,"[""AGU_RIE""]",[],0.95,"""convocatoria de Junta"" activa AGU_RIE (convocatorias de asamblea/junta de comunidad de regantes). El nombre ""Comunidad de Regantes"" confirma el uso agrícola/riego sin especificar cuenca → subcategories vacía.",49.472
45,boe,Anuncio de la Comunidad de Regantes Heredamiento de aguas de Ceutí sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_segura",,True,anuncio,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_guadalquivir""]",0.95,"La publicación es una 'convocatoria de Junta' de una 'Comunidad de Regantes', lo que activa la categoría AGU_RIE según las reglas críticas. El nombre del regante 'Heredamiento de aguas de Ceutí' sugiere uso agrícola (cuenca Guadiana, donde se encuentra Ceutí).",56.648
46,dogc,"Edicto de 24 de febrero de 2025, por el que se somete a información pública el ""Proyecto constructivo de ejecución de las obras de la red de distribución de regadío del sistema Segarra-Garrigues. Sector 12. Red secundaria de apoyo del piso C. Perímetro II"" (exp. S12-XS08-24)",AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_ebro",,UnexpectedModelBehavior,56.811
47,boe,Anuncio de la Comunidad de Regantes de Venta Micena sobre convocatoria de Junta.,AGU_RIE,True,AGU_RIE,"uso_agricola,cuenca_guadalquivir",,True,convocatoria,"[""AGU_RIE""]","[""uso_agricola"", ""cuenca_guadalquivir""]",0.95,"""'Comunidad de Regantes' activa directamente la categoría AGU_RIE según las reglas N2 para convocatorias de juntas. La zona regable Venta Micena corresponde a la cuenca del Guadalquivir (Andalucía) y el uso es agrícola/riego.""",53.741
48,boe,"Anuncio de la Comisaría de Aguas de la Confederación Hidrográfica del Guadalquivir de información pública de procedimiento de modificación de características y novación de concesión de aguas públicas para, riego de 5,8 ha, abastecimiento, uso industrial y un volumen de 10.444 m3/año con captación en Sondeo (Aluvial del Guadalquivir - Curso Medio) en Adamuz (Córdoba). Expediente M-7618/2017-ing.",AGU_RIE,True,"AGU_RIE,AGU_ABS,AGU_IND","uso_mixto,cuenca_guadalquivir",,UnexpectedModelBehavior,50.681
49,boe,Anuncio de la Comunidad de Regantes Nava de Arriba sobre convocatoria de Junta General.,AGU_RIE,True,AGU_RIE,uso_agricola,,True,anuncio,"[""AGU_RIE""]",[],0.95,"""'Junta General' de 'Comunidad de Regantes' activa AGU_RIE según la regla 8 (convocatorias de asambleas = riego). No hay indicación de uso específico, cuenca ni captación explícita en el texto.""",49.861
50,dogv,"RESOLUCIÓN de 17 de septiembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula un informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 113, polígono 4, partida Tarafes del término municipal de Xaló (Alicante). Expediente: (3593978) 215/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,51.075
51,boib,"Resolución de la directora general de Armonización Urbanística y Evaluación Ambiental por la cual se formula el informe de impacto ambiental sobre el Proyecto de una captación de aguas subterráneas (sondeo), en la finca «Penya Rotja», polígono 14, parcela 43 en el Término Municipal de Son Servera (Exp. 102a/2024)",AGU_SND,True,AGU_SND,cuenca_insular,,UnexpectedModelBehavior,56.474
52,dogv,"RESOLUCIÓN de 26 de septiembre de 2024, del director general de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula el informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 379, polígono 12, del término municipal de Useras. Expediente: (3488985) 121/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,53.194
53,dogv,"RESOLUCIÓN de 3 de febrero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula el informe de impacto ambiental del Proyecto de sondeo para captación de aguas subterráneas, parcela 33 del polígono 40 del término municipal de Vistabella del Maestrat (Castellón). Expediente: (3524000) 147/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,51.564
54,dogv,"RESOLUCIÓN de 20 de enero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula un informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 159, polígono 13, del término municipal de Relleu . Expediente: (3487745) 131/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,52.586
55,dogv,"RESOLUCIÓN de 19 de febrero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula Informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 71, polígono 13, del término municipal de Figueroles. Expediente: (3557724) 240/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,53.19
56,dogv,"RESOLUCIÓN de 17 de enero de 2025, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 11 del polígono 22, partida Garroferos, en el término municipal de Monforte del Cid (Alicante). Expediente: (3603557) 259/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,50.125
57,docm,"Resolución de 12/03/2025, de la Delegación Provincial de Desarrollo Sostenible de Toledo, por la que se formula informe de impacto ambiental del proyecto: Captación de aguas subterráneas para riego de árboles variados y pequeña huerta (expediente PRO-TO-23-3262), en el término municipal de Menasalbas (Toledo).",AGU_SND,True,"AGU_SND,AGU_RIE","uso_agricola,cuenca_tajo",,UnexpectedModelBehavior,56.96
58,dogv,"RESOLUCIÓN de 11 de julio de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula informe de impacto ambiental del Proyecto de captación de aguas subterráneas para abastecimiento hídrico de la parcela 296 del polígono 43, partida les Sutarraes en el término municipal de Vinaròs. Expediente: (3495540) 122/2024/AIA.",AGU_SND,True,"AGU_SND,AGU_ABS","uso_urbano,cuenca_jucar",,UnexpectedModelBehavior,49.786
59,dogv,"RESOLUCIÓN de 17 de septiembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la que se formula el informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en el polígono 26, parcela 944, partida Las Arenas, del término municipal de Cabanes. Expediente: (3525940)188/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,51.978
60,dogv,"RESOLUCIÓN de 26 de septiembre de 2024, de la Dirección General de Urbanismo, Paisaje y Evaluación Ambiental, por la cual se formula informe de impacto ambiental del proyecto de sondeo para captación de aguas subterráneas en la parcela 509, polígono 4, partida Tarafes del término municipal de Beniarbeig (Alicante). Expediente: (3603591) 228/2024/AIA.",AGU_SND,True,AGU_SND,cuenca_jucar,,UnexpectedModelBehavior,51.034
61,bocyl,"RESOLUCIÓN de 5 de febrero de 2025, de la Delegación Territorial de León, por la que se dicta el informe de impacto ambiental del proyecto de ejecución de un sondeo de captación de aguas subterráneas para abastecimiento de agua potable en la localidad de Santiago Millas, en el término municipal de Santiago Millas (León), promovido por el Ayuntamiento. Expte.: I.A. 029/2024.",AGU_SND,True,"AGU_SND,AGU_ABS","uso_urbano,cuenca_duero",,UnexpectedModelBehavior,52.475
