id,bulletin,description,grupo_muestreo,is_relevant_gt,categories_gt,subcategories_gt,notas_anotador,is_relevant_pred,act_type_pred,categories_pred,subcategories_pred,confidence,reasoning,duration_s,error
23,dog,"ORDEN de 24 de febrero de 2025 por la que se establecen las bases reguladoras para la concesión de las ayudas para el sector editorial gallego, relativas a gastos de edición, distribución y comercialización de las publicaciones editoriales en el año 2025, y se procede a su convocatoria para el año 2025 (código de procedimiento CT238A).",MULTILABEL_BC,True,"SUB_BASE, SUB_CONV",sector_cultura,Acto completo: bases y convocatoria. Sector editorial,True,orden,"[""SUB_BASE"", ""SUB_CONV""]","[""sector_cultura""]",1.0,"La descripción indica que ""se establecen las bases reguladoras"" (disparando SUB_BASE) y además ""se procede a su convocatoria"" (disparando SUB_CONV).",236.412,
40,dogc,"Resolución TER/302/2025, de 27 de enero, por la que se abre la convocatoria para la concesión de ayudas en forma de bonificación de los intereses de operaciones de préstamo, para la financiación de promociones de viviendas con protección oficial destinadas a alquiler o cesión de uso en régimen general (ref. BDNS 812668)",SUB_CONV,True,SUB_CONV,sector_vivienda,Abre convocatoria ayudas bonificacion intereses VPO alquiler,True,resolución,"[""SUB_CONV""]","[""sector_vivienda""]",0.98,"La descripción indica que ""se abre la convocatoria para la concesión de ayudas"" y menciona una referencia BDNS, lo cual dispara SUB_CONV.",213.731,
41,bocm,"Extracto convocatoria subvenciones
– Extracto de la Orden 394/2025, de 23 de febrero, del Consejero de Educación, Ciencia y Universidades, por la que se convocan las ayudas a estudiantes con discapacidad que cursan estudios universitarios o de enseñanzas artísticas superiores para el curso 2024-2025",SUB_CONV,True,SUB_CONV,"sector_educacion, sector_social",Extracto. Ayudas estudiantes con discapacidad,True,extracto,"[""SUB_CONV""]","[""sector_educacion""]",1.0,"El texto comienza con ""Extracto de la Orden..."" y utiliza el verbo ""convocan"", lo que dispara SUB_CONV.",206.518,
42,boa,"ORDEN FOM/305/2025, de 17 de marzo, por la que se convocan subvenciones a entidades sin ánimo de lucro para la realización, durante el año 2025, de actuaciones culturales desestacionalizadas, en el marco de la Directriz Especial de Ordenación Territorial de Política Demográfica y contra la Despoblación, con cargo al Fondo de Cohesión Territorial.",SUB_CONV,True,SUB_CONV,sector_cultura,Convoca subvenciones actuaciones culturales,True,orden,"[""SUB_CONV""]","[""sector_cultura""]",0.98,"La descripción indica explícitamente que ""se convocan subvenciones"".",167.597,
43,dog,"ORDEN de 20 de marzo de 2025 por la que se modifica parcialmente la Orden de 13 de agosto de 2024 por la que se establecen las bases reguladoras para el período 2024-2026 y se efectúa la primera convocatoria de subvenciones, en régimen de concurrencia no competitiva, a fin de financiar acciones formativas del Sistema de formación profesional de los grados A, B y C, y competencias clave, destinadas a personas trabajadoras ocupadas, para el ejercicio 2024 (código de procedimiento TR301X).",SUB_CONV,True,"SUB_BASE, SUB_CONV",sector_empleo,Modifica orden de bases y primera convocatoria: hereda ambas. Formacion ocupados,True,orden,"[""SUB_BASE"", ""SUB_CONV""]","[""sector_educacion""]",0.98,"El acto modifica las bases reguladoras (""se modifica parcialmente la Orden... por la que se establecen las bases reguladoras"") y convoca ayudas (""y se efectúa la primera convocatoria de subvenciones"").",230.748,
44,boc,"Extracto de la Resolución de 18 de marzo de 2025, de la consejera de Inclusión Social, Juventud, Familias e Igualdad, por la que se convocan subvenciones a entidades locales, en régimen de concurrencia competitiva, destinadas a la realización de proyectos de sensibilización y capacitación entre la población joven de Cantabria.",SUB_CONV,True,SUB_CONV,sector_social,Extracto. Sensibilizacion juventud,True,extracto,"[""SUB_CONV""]","[""sector_social""]",0.98,"El texto es un ""Extracto de la Resolución... por la que se convocan subvenciones"", lo cual dispara SUB_CONV según la REGLA EXTRACTO. El objeto es para proyectos de sensibilización y capacitación entre población joven, clasificándolo en sector social.",235.814,
45,bon,"RESOLUCIÓN 906E/2024, de 2 de diciembre, del director general de Presidencia, Gobierno Abierto y Relaciones con el Parlamento de Navarra, por la que se aprueba la convocatoria de la subvención ""Subvenciones a entidades ciudadanas que desarrollen proyectos dirigidos a fomentar y promover la participación ciudadana en la Comunidad Foral de Navarra 2025"". Identificación BDNS: 801826.",SUB_CONV,True,SUB_CONV,,Aprueba convocatoria participacion ciudadana sin sector claro,True,resolución,"[""SUB_CONV""]","[""sector_social""]",0.98,"La descripción menciona explícitamente ""se aprueba la convocatoria de la subvención"", lo que indica el inicio o gestión de una ayuda. Además, se proporciona un código BDNS.",221.285,
46,dog,EXTRACTO de la Orden de 14 de enero de 2025 por la que se regula el régimen de ayudas a centros privados concertados para la contratación de auxiliares de conversación durante el curso 2024/25 con la finalidad de mejorar la competencia lingüística del alumnado en lenguas extranjeras (código de procedimiento ED504E).,SUB_CONV,True,SUB_CONV,sector_educacion,Extracto BDNS. Ayudas centros concertados auxiliares conversacion,True,extracto,"[""SUB_CONV""]","[""sector_educacion""]",1.0,"El texto es un ""EXTRACTO"" y la regla crítica 1 establece que en este caso la fase debe ser ÚNICAMENTE SUB_CONV. El objeto de las ayudas está relacionado con centros educativos (""centros privados concertados"") para mejorar la competencia lingüística del alumnado.",249.017,
47,boca,"EXTRACTO de la Resolución de 6 de marzo de 2025, por la que se convocan ayudas para la realización de talleres de identificación de proyectos de cooperación universitaria al desarrollo para el año 2025.",SUB_CONV,True,SUB_CONV,sector_educacion,Extracto. Talleres cooperacion universitaria al desarrollo,True,extracto,"[""SUB_CONV""]","[""sector_educacion""]",1.0,"El texto es un ""EXTRACTO"" y menciona que ""se convocan ayudas"", lo cual dispara la etiqueta SUB_CONV según la REGLA EXTRACTO.",212.882,
48,boib,Resolución del consejero de Educación y Universidades por la que se convocan ayudas complementarias para el alumnado de las Illes Balears que participa en programas institucionales de movilidad para cursar parte de los estudios universitarios en cualquier país de la Unión Europea (UE-27) durante el año académico 2024-2025,SUB_CONV,True,SUB_CONV,sector_educacion,Ayudas movilidad universitaria,True,resolución,"[""SUB_CONV""]","[""sector_educacion""]",0.98,"El acto se refiere a ayudas para el alumnado universitario (""estudios universitarios"") y utiliza la frase ""se convocan ayudas complementarias"".",197.86,
49,docm,"Extracto de 18/02/2025, de la Universidad de Castilla-La Mancha, de la convocatoria de una beca de colaboración para colaborar en tareas de investigación sobre evaluación de procedimientos para actualizar hermanos digitales de centros de intercambio modal urbano. Departamento de Ingeniería Civil y de la Edificación de la Universidad de Castilla-La Mancha. Año 2025. BDNS (Identif.): 815625.",SUB_CONV,True,SUB_CONV,"sector_educacion, sector_investigacion",Extracto. Beca colaboracion en investigacion,True,extracto,"[""SUB_CONV""]","[""sector_educacion"", ""sector_investigacion""]",0.98,"La descripción es un ""Extracto"" y menciona una ""beca de colaboración"", lo que indica la convocatoria de ayuda económica.",220.2,
50,borm,"Extracto de la Orden de 30 de diciembre de 2024, de modificación de la Orden de 30 de julio de 2021 de la Consejería de Empresa, Empleo, Universidades y Portavocía por la que se convocan en la Comunidad Autónoma de la Región de Murcia las ayudas correspondientes a programas de incentivos ligados a la movilidad eléctrica (MOVES III) en el marco del Plan de Recuperación, Transformación y Resiliencia.",SUB_CONV,True,SUB_CONV,sector_renovable,Modificacion de convocatoria MOVES III: hereda SUB_CONV,True,extracto,"[""SUB_CONV""]","[""sector_renovable""]",0.98,"El texto es un ""Extracto de la Orden... por la que se convocan [...] las ayudas correspondientes a programas de incentivos ligados a la movilidad eléctrica (MOVES III)"". Por regla crítica 1, cualquier extracto implica SUB_CONV.",264.504,
51,docm,"Resolución de 12/02/2025, de la Consejería de Desarrollo Sostenible, por la que se deja sin efecto la Resolución de 27/12/2024, por la que se modifica la Resolución de 09/07/2021, por la que se aprueba la convocatoria del Programa de Incentivos a la Movilidad Eléctrica (Programa Moves III) -financiado por la Unión Europea- NextGenerationEU. Extracto BDNS (Identif.): 574801.",SUB_CONV,True,SUB_CONV,sector_renovable,Deja sin efecto modificacion de convocatoria MOVES III: hereda SUB_CONV,True,resolución,"[""SUB_CONV""]","[""sector_renovable""]",0.95,"El acto es un ""Extracto BDNS"" de una convocatoria (""Programa de Incentivos a la Movilidad Eléctrica""), lo que dispara SUB_CONV por la REGLA EXTRACTO. Además, el programa trata sobre ""Movilidad Eléctrica"", clasificándolo en sector renovable.",272.492,
52,dogv,"EXTRACTO de la  Resolución de 28 de enero de 2025, de la Dirección, mediante la que se establece la convocatoria para concesión y solicitud de pago anual de las ayudas incluidas en la solicitud única dentro del marco del Plan estratégico de la política agrícola común (PEPAC) para el año 2025 y de las ayudas a los agricultores en zonas con limitaciones naturales contenidas en la medida 13 del PDRCV 2014-2022.",SUB_CONV,True,SUB_CONV,sector_agricultura,Extracto. Convocatoria solicitud unica PAC,True,extracto,"[""SUB_CONV""]","[""sector_agricultura""]",0.98,"El texto es un ""EXTRACTO"" y menciona la ""convocatoria para concesión y solicitud de pago anual de las ayudas"", lo que dispara SUB_CONV según la REGLA EXTRACTO.",237.562,
54,dogv,"EXTRACTO de la Resolución de 27 de febrero de 2025, de beca de formación universitaria para la colaboración en la gestión y coordinación de las actividades deportivas competitivas que se desarrollan en la oficina de campus saludables y deportes de la Universidad Miguel Hernández de Elche.",SUB_CONV,True,SUB_CONV,"sector_educacion, sector_deporte",Extracto. Beca formacion universitaria en oficina deportes,True,extracto,"[""SUB_CONV""]","[""sector_educacion""]",0.98,"El texto es un ""EXTRACTO"" y menciona una ""beca de formación universitaria"", lo que dispara la fase SUB_CONV por regla crítica 1.",226.289,
55,bon,"ORDEN FORAL 17E/2025, de 11 de febrero, de la consejera de Memoria y Convivencia, Acción Exterior y Euskera, por la que se aprueban las bases reguladoras y la convocatoria de la subvención ""Ayudas a asociaciones y entidades sin ánimo de lucro para la realización de actividades relacionadas con las víctimas, con la cultura de memoria y convivencia"" para 2025. Identificación BDNS: 814184.",SUB_CONV,True,"SUB_BASE, SUB_CONV",sector_social,Acto completo: aprueba bases y convocatoria. Asociaciones victimas memoria,True,orden,"[""SUB_BASE"", ""SUB_CONV""]","[""sector_cultura""]",0.98,"El acto ""aprueban las bases reguladoras y la convocatoria de la subvención"" indica tanto la aprobación de bases como la apertura de una nueva ayuda. El fragmento clave es: ""se aprueban las bases reguladoras y la convocatoria de la subvención"".",275.511,
56,docm,"Resolución de 06/02/2025, de la Viceconsejería de Servicios y Prestaciones Sociales, por la que se publica el crédito presupuestario disponible, durante 2025, para atender las obligaciones de contenido económico derivadas de las subvenciones para financiar proyectos de acción humanitaria y de emergencia. Extracto BDNS (Identif.): 813563.",SUB_CONV,True,SUB_CONV,sector_social,Publica credito disponible de convocatoria: acto sobre convocatoria. Accion humanitaria,True,resolución,"[""SUB_CONV""]","[""sector_social""]",0.95,"El texto menciona ""se publica el crédito presupuestario disponible... para atender las obligaciones de contenido económico derivadas de las subvenciones"" y es un ""Extracto BDNS"", lo que dispara SUB_CONV según la regla crítica 1.",234.74,
57,bon,Extracto de la convocatoria de subvenciones para actuaciones puntuales de sensibilización en 2025,SUB_CONV,True,SUB_CONV,,Extracto convocatoria sensibilizacion sin sector claro,True,extracto,"[""SUB_CONV""]",[],1.0,"El texto es un ""Extracto de la convocatoria de subvenciones"", lo que dispara automáticamente SUB_CONV según la REGLA EXTRACTO.",180.595,
58,bor,Convocatoria de subvenciones en régimen de concurrencia competitiva a entidades sin ánimo de lucro para el fomento y la promoción del deporte y la actividad física 2025 (extracto),SUB_CONV,True,SUB_CONV,sector_deporte,Convocatoria fomento deporte,True,extracto,"[""SUB_CONV""]","[""sector_deporte""]",1.0,"El acto es un ""extracto"" y menciona una ""Convocatoria de subvenciones"", lo que dispara SUB_CONV por la regla crítica 1.",201.774,
59,bon,"ORDEN FORAL 33E/2025, de 28 de febrero, de la consejera de Cultura, Deporte y Turismo, por la que se aprueba la convocatoria de la subvención ""Generazinema Desarrollo 2025/2026"". Identificación BDNS: 817901.",SUB_CONV,True,SUB_CONV,sector_cultura,Aprueba convocatoria Generazinema audiovisual,True,orden,"[""SUB_CONV""]","[""sector_cultura""]",0.98,"El acto aprueba la convocatoria de una subvención (""se aprueba la convocatoria de la subvención...""), lo que dispara la etiqueta SUB_CONV.",231.885,
60,borm,"Extracto de la Orden de 17 de febrero de 2025 de la Consejería de Agua, Agricultura, Ganadería y Pesca por la que se aprueba la convocatoria de las ayudas de reestructuración y reconversión de viñedo de la Región de Murcia, para el año 2025.",SUB_CONV,True,SUB_CONV,sector_agricultura,Extracto. Reestructuracion vinedo,True,orden,"[""SUB_CONV""]","[""sector_agricultura""]",1.0,"El texto es un ""Extracto"" y menciona la ""convocatoria de las ayudas"", lo que dispara SUB_CONV según la REGLA EXTRACTO.",184.32,
61,docm,"Orden 5/2025, de 30 de enero, de la Consejería de Agricultura, Ganadería y Desarrollo Rural, por la que se establecen disposiciones de aplicación de las intervenciones en forma de pagos directos financiadas con cargo al Fondo Europeo Agrícola (Feaga), la solicitud única y los requisitos comunes para el cobro de las ayudas y se convocan para el año 2025. Extracto BDNS (Identif.): 811967.",SUB_CONV,True,SUB_CONV,sector_agricultura,Disposiciones de aplicacion y convocatoria pagos directos PAC. Disposiciones no son bases formales,True,orden,"[""SUB_CONV""]","[""sector_agricultura""]",0.98,"El texto indica que ""se establecen disposiciones de aplicación... y se convocan para el año 2025"", lo cual dispara la fase de convocatoria (SUB_CONV). Además, es un ""Extracto BDNS"".",211.345,
62,boib,"Notificación del Decreto de Presidencia acordando el reconocimiento de la obligación de pago de las ayudas para el fomento del uso de materiales biodegradables en acolchado agrícola, línea e) de la Convocatoria de ayudas específicas para el desarrollo del ámbito rural y ganadero en la isla de Ibiza para el año 2024-2025",SUB_CONV,True,SUB_CON,sector_agricultura,Reconocimiento obligacion de pago de ayudas: fase concesion-pago,True,decreto,"[""SUB_CON""]","[""sector_agricultura""]",0.98,"El texto menciona el ""reconocimiento de la obligación de pago de las ayudas"", lo cual indica una fase de concesión o liquidación posterior a la convocatoria.",206.98,
63,bon,"ORDEN FORAL 7E/2025, de 13 de febrero, de la consejera de Cultura, Deporte y Turismo, por la que se aprueba la convocatoria de la subvención a entidades de voluntariado o con programas, en el ámbito deportivo y de la actividad física. Identificación BDNS: 814879.",SUB_CONV,True,SUB_CONV,sector_deporte,Aprueba convocatoria voluntariado deportivo,True,orden,"[""SUB_CONV""]","[""sector_deporte""]",0.95,"El acto aprueba la convocatoria de la subvención (""se aprueba la convocatoria de la subvención"").",194.026,
